SystematicID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPBC354.03,42.98785341,-2.924341452,0.580668135,-5.036166573,4.75E-07,3.15E-06
SPBC354.10,37.52540582,-3.67685069,0.711506339,-5.167699135,2.37E-07,1.66E-06
SPBC36.04,53.59026293,-5.78200285,0.787167465,-7.345327529,2.05E-13,6.15E-12
SPBC36.07,27.39755093,-4.719671529,1.093263568,-4.317048211,1.58E-05,7.47E-05
SPBC365.06,35.17941891,-4.553707786,0.771488463,-5.902496283,3.58E-09,4.01E-08
SPBC365.14c,37.45482992,-5.135298695,0.850236698,-6.03984597,1.54E-09,1.91E-08
SPBC365.16,42.4830125,-3.986016536,0.975682888,-4.085360709,4.40E-05,0.000186006
SPBC3B8.02,34.62921761,-4.402441035,0.797255215,-5.521997164,3.35E-08,2.83E-07
SPBC3B8.05,77.13158946,-3.238621802,0.462728328,-6.998970259,2.58E-12,5.91E-11
SPBC3B8.10c,43.75466372,-2.055099696,0.46832471,-4.388194032,1.14E-05,5.56E-05
SPBC3E7.16c,38.88866138,-3.8307679,0.670922191,-5.709705166,1.13E-08,1.09E-07
SPBC3H7.03c,30.06357522,-3.388547445,1.001355159,-3.383961639,0.00071448,0.002212331
SPBC3H7.12,70.76678854,-3.313874823,0.429017766,-7.724330058,1.12E-14,4.27E-13
SPBC3H7.15,30.54490417,-3.944738187,0.886731651,-4.448626798,8.64E-06,4.38E-05
SPBC405.07,35.57800221,-4.513234852,0.742585395,-6.077731778,1.22E-09,1.58E-08
SPBC409.07c,31.30955568,-4.489142361,0.84809046,-5.293235299,1.20E-07,8.91E-07
SPBC409.10,36.32636719,-3.690874654,0.792451655,-4.657539211,3.20E-06,1.78E-05
SPBC428.05c,60.0231063,-4.249766089,0.664692379,-6.393583288,1.62E-10,2.51E-09
SPBC428.06c,28.62160867,-4.671276193,0.944052605,-4.948110062,7.49E-07,4.81E-06
SPBC4B4.03,27.22282069,-4.686443622,1.372226571,-3.415211249,0.000637326,0.00200128
SPBC4B4.06,46.99683266,-3.519775327,0.618954895,-5.686642688,1.30E-08,1.24E-07
SPBC4F6.06,29.67165588,-4.141757963,0.905225122,-4.575389994,4.75E-06,2.55E-05
SPBC4F6.10,18.53649608,-4.943640621,1.1171668,-4.42515891,9.64E-06,4.80E-05
SPBC56F2.05c,85.51957482,-3.666163484,0.5624034,-6.518743458,7.09E-11,1.19E-09
SPBC56F2.10c,20.96278444,-2.865770189,0.780076977,-3.673701795,0.000239062,0.000837657
SPBC56F2.11,50.18396702,-4.242575092,0.752399873,-5.638723827,1.71E-08,1.58E-07
SPBC56F2.12,25.14338583,-6.906748275,1.378125491,-5.011697643,5.40E-07,3.52E-06
SPBC577.02,23.18475465,-4.38362211,1.148146457,-3.817999073,0.000134538,0.000497138
SPBC646.09c,10.21456496,-5.648100714,1.67182687,-3.378400489,0.000729088,0.002244179
SPBC651.02,100.7728772,-3.707719204,0.512181632,-7.239071016,4.52E-13,1.27E-11
SPBC691.04,42.96338476,-3.613143246,0.616397368,-5.861711025,4.58E-09,4.89E-08
SPBC6B1.04,40.40637288,-5.407972496,0.97527949,-5.545048933,2.94E-08,2.52E-07
SPBC6B1.06c,27.05729197,-2.815093559,0.708619304,-3.972645881,7.11E-05,0.000284223
SPBC6B1.09c,32.26394215,-4.749154111,0.809855397,-5.864200111,4.51E-09,4.85E-08
