Gene,FC_2d,FC_21d
SPAC26H5.05,1.849548,1.779318
SPBC27B12.11c,1.841457,1.794476
SPCC1494.03,1.847609,1.847584
SPAC1006.01,1.855022,1.885538
SPAC21E11.03c,1.839241,1.890744
SPAC17G8.10c,1.775743,1.826499
SPBC530.05,1.757252,1.863988
SPBC1826.01c,1.932908,1.504332
SPBC1921.06c,1.965519,1.596275
SPBC106.10,1.916886,1.587498
SPAC23A1.06c,1.886588,1.611326
SPAC22E12.01,1.843991,1.677872
SPAC5D6.04,1.804747,1.706731
SPCC1183.09c,1.757916,1.605911
SPBC4F6.06,1.738425,1.645087
SPAC26F1.04c,1.752858,1.445986
SPBC26H8.02c,1.743249,1.443237
SPBC21B10.07,1.71814,1.397167
SPAC4A8.08c,1.696968,1.415721
SPAC23A1.02c,1.693461,1.354679
SPBC660.07,1.798192,1.549908
SPBC19F8.07,1.777815,1.488408
SPAC19E9.03,1.763731,1.515112
SPAC26A3.10,1.729883,1.545682
SPCC16C4.02c,1.703446,1.485416
SPAC6B12.02c,1.673774,1.532631
SPAC13G7.02c,1.671037,1.511287
SPAC29B12.01,1.675344,1.564467
SPAC17A5.10,1.66356,1.575433
SPBC13G1.10c,1.653155,1.544317
SPAC922.07c,1.651693,1.539164
SPCC594.04c,1.638477,1.568594
SPAC14C4.07,1.634699,1.477763
SPBC3E7.16c,1.608392,1.510235
SPBC27B12.03c,1.62786,1.401363
SPBC32F12.11,1.622865,1.428445
SPAC13G6.12c,1.56959,1.412827
SPBC16E9.13,1.564986,1.455684
SPBC25B2.10,1.533805,1.468047
SPCC1393.07c,1.535861,1.54309
SPCC70.05c,1.513906,1.524449
SPCC1450.13c,1.494066,1.456745
SPBC56F2.11,1.474983,1.401313
SPAC2E12.02,1.461626,1.41367
SPAC4G8.04,1.773405,1.755118
SPAC19A8.05c,1.74715,1.758865
SPAC23A1.16c,1.721502,1.716803
SPAC343.11c,1.697862,1.715408
SPBC16C6.06,1.718604,1.811422
SPAPB18E9.04c,1.695317,1.761698
SPAC222.09,1.683991,1.808508
SPBC1703.12,1.675606,1.789703
SPCC63.08c,1.685084,1.891045
SPBC609.03,1.667688,1.883299
SPCC285.11,1.670222,1.839319
SPBC19C7.03,1.652826,1.822361
SPCC622.15c,1.650187,1.787875
SPAC1399.05c,1.637756,1.769273
SPAPB8E5.04c,1.627578,1.772199
SPCC162.07,1.623457,1.836146
SPAC10F6.16,1.595982,1.816006
SPAC19G12.14,1.653687,1.681582
SPAC3C7.13c,1.619991,1.727087
SPAC19G12.09,1.629378,1.641307
SPAC521.04c,1.60437,1.622616
SPBC36.11,1.590595,1.642551
SPAC23C4.04c,1.582314,1.758673
SPCC126.09,1.565859,1.754548
SPBC23G7.06c,1.56917,1.690969
SPAC806.05,1.538987,1.755308
SPAC19G12.07c,1.533951,1.760858
SPCC548.06c,1.512518,1.76939
SPAC2C4.07c,1.488767,1.748137
SPBC12C2.10c,1.532055,1.641893
SPAC821.04c,1.524483,1.671894
SPCC736.13,1.500841,1.666031
SPBC354.05c,1.46943,1.699992
SPAC18B11.09c,1.468827,1.647901
SPCC1442.04c,1.681374,1.996499
SPAC1783.07c,1.608715,1.986147
SPAC22H10.02,1.593491,1.985188
SPAPB1A10.07c,1.598359,1.875743
SPBC19G7.06,1.579199,1.887306
SPCC338.17c,1.561319,1.894784
SPAC57A7.09,1.547502,1.856466
SPAC25G10.09c,1.542297,1.886911
SPAC31G5.18c,1.521895,1.874037
SPBP35G2.10,1.520246,1.927423
SPAC11D3.08c,1.494806,1.933805
SPCC417.09c,1.510391,1.812
SPBC216.05,1.480453,1.850792
SPAC24H6.05,1.73469,1.163207
SPAC22E12.09c,1.719696,1.128968
SPCC188.14,1.683594,1.147851
SPAPB24D3.09c,1.73225,1.201357
SPBP19A11.04c,1.702501,1.246961
SPBC29A3.01,1.67782,1.242122
SPCC970.08,1.685797,1.303836
SPAC323.07c,1.677228,1.312571
SPAC24H6.09,1.636191,1.311212
SPAC1006.05c,1.61317,1.227761
SPBC887.09c,1.574073,1.229538
SPBC16E9.11c,1.578932,1.259278
SPAC22A12.11,1.562183,1.248627
SPBC21C3.03,1.57064,1.311879
SPAC1F3.02c,1.5518,1.333662
SPBC27B12.08,1.526688,1.275016
SPBC651.03c,1.526769,1.313267
SPCC16C4.03,1.495415,1.295029
SPAC15A10.03c,1.489083,1.250741
SPAC31A2.12,1.474823,1.254192
SPAC9E9.03,1.658306,1.099594
SPAC8C9.16c,1.63607,1.094579
SPAC2F3.05c,1.605121,1.11715
SPBC17F3.02,1.570468,1.144081
SPCC830.05c,1.62918,1.003011
SPBC2F12.05c,1.585064,1.072793
SPBC16E9.01c,1.550103,1.026421
SPAC3F10.17,1.538145,1.16112
SPCC1919.05,1.524655,1.134237
SPBC3F6.05,1.502754,1.181476
SPAC20G8.05c,1.496617,1.057349
SPAC4F8.07c,1.429189,1.057684
SPAC644.06c,1.451402,1.092962
SPAC8C9.12c,1.427282,1.091523
SPAC328.02,1.421761,1.084873
SPBC354.09c,1.45052,1.214412
SPCC132.04c,1.431603,1.183444
SPCC24B10.07,1.426278,1.152214
SPBC651.09c,1.410649,1.151053
SPCC1795.09,1.371931,1.202255
SPAC13F5.02c,1.367399,1.195615
SPBC216.07c,1.363889,1.181234
SPBC2F12.15c,1.331983,1.207569
SPAC17A2.07c,1.352795,1.025061
SPAC27D7.13c,1.350373,1.01223
SPAC11D3.05,1.335545,1.033044
SPCC306.11,1.357744,1.116483
SPAC1687.09,1.356258,1.158675
SPCC584.15c,1.332072,1.108481
SPBC17D11.01,1.323532,1.114424
SPAC4A8.02c,1.322726,1.091539
SPAC10F6.10,1.29272,1.116352
SPBC3H7.03c,1.255492,1.026208
SPBC577.13,1.246155,1.03546
SPBC19G7.13,1.24582,1.037201
SPBC646.08c,1.240807,1.009966
SPCC1739.12,1.219839,1.031329
SPAPYUK71.03c,1.200086,1.004388
SPAC20G8.06,1.199724,1.025352
SPBC8E4.03,1.209762,1.11596
SPCC18.03,1.217449,1.141402
SPBC8D2.20c,1.200445,1.145164
SPAC8C9.14,1.182167,1.061863
SPCC162.08c,1.181823,1.102234
SPBC25H2.13c,1.376915,1.336626
SPCC320.05,1.357854,1.267537
SPBC577.14c,1.305932,1.346529
SPBC29A3.03c,1.296813,1.335899
SPBC19C7.02,1.288302,1.332028
SPBC1289.04c,1.281404,1.234342
SPCC188.09c,1.270526,1.260709
