Gene,FC_2d,FC_21d
SPBC947.04,-1.78552,-1.75272
SPBC30B4.06c,-1.793834,-1.702204
SPAC20G4.07c,-1.795416,-1.707248
SPBC16C6.10,-1.806448,-1.721898
SPAC3A12.16c,-1.808744,-1.725669
SPBC685.09,-1.844799,-1.706496
SPAC821.08c,-1.824946,-1.822354
SPBC25B2.04c,-1.835626,-1.799799
SPBC646.16,-1.838513,-1.799254
SPCC24B10.15,-1.878695,-1.774841
SPBC651.04,-1.898911,-1.779519
SPBC685.07c,-1.877869,-1.849108
SPAC19B12.04,-1.900346,-1.811157
SPAC20G4.06c,-1.905547,-1.813607
SPAC25B8.06c,-1.871711,-1.936322
SPBC1347.13c,-1.93894,-1.890985
SPCC24B10.19c,-1.96889,-1.736843
SPCC63.07,-2.019055,-1.72553
SPAC19D5.06c,-1.991596,-1.785433
SPCC126.12,-1.998964,-1.822887
SPAC19D5.10c,-2.024762,-1.846877
SPAC139.06,-1.945646,-2.068958
SPCC4G3.04c,-1.991036,-2.098872
SPBC19F8.02,-2.029825,-2.048247
SPBC83.09c,-2.046746,-2.035777
SPAC27D7.11c,-2.05727,-2.079885
SPAC1B3.02c,-1.981944,-1.982216
SPCC1753.01c,-2.045534,-1.973684
SPBC354.01,-2.049022,-1.955847
SPAC343.13,-2.05928,-1.94381
SPCC11E10.04,-0.643834,-1.151598
SPAC1F3.01,-0.660654,-1.133812
SPAC644.04,-0.685482,-1.122903
SPCC4B3.09c,-0.704882,-1.102793
SPAC3A12.04c,-0.652443,-1.219106
SPCC1739.05,-0.666222,-1.2146
SPAC7D4.11c,-0.677416,-1.208964
SPBC29A3.05,-0.673962,-1.188461
SPAC926.08c,-0.66807,-1.25115
SPCC1442.03,-0.687255,-1.259911
SPAC1B3.09c,-0.707747,-1.192202
SPAPB1A10.04c,-0.702244,-1.218086
SPAC22E12.18,-0.710476,-1.220471
SPBC16A3.10,-0.713529,-1.219512
SPBC16E9.06c,-0.73198,-1.220216
SPBC20F10.08c,-0.72302,-1.141188
SPBC211.06,-0.738403,-1.119976
SPBC29A3.09c,-0.75582,-1.136691
SPBC25H2.09,-0.759792,-1.138362
SPAC11E3.07,-0.759673,-1.157954
SPAC926.04c,-0.751161,-1.183956
SPCC1442.19,-0.76917,-1.214073
SPBC336.11,-0.77045,-1.21113
SPAC5D6.05,-0.778466,-1.184313
SPBC1778.09,-0.795373,-1.196003
SPAC23C11.14,-0.795757,-1.199581
SPBC25H2.04c,-0.795747,-1.163095
SPAC13C5.01c,-0.801476,-1.170619
SPAC4G8.06c,-0.69907,-1.05739
SPAC1071.09c,-0.704456,-1.049618
SPBC119.11c,-0.703309,-1.032069
SPBC16H5.04,-0.726001,-1.049017
SPCC18B5.10c,-0.744114,-1.034792
SPBC21D10.05c,-0.744232,-1.017814
SPCC970.03,-0.741443,-1.07981
SPAC4G9.15,-0.767658,-1.061035
SPAC6B12.09,-0.771427,-1.110605
SPBC3B9.12,-0.792944,-1.083728
SPBC13A2.02,-0.797055,-1.103533
