Gene,FC_2d,p.adj_2d,FC_21d,p.adj_21d,,,,,,
SPAC17C9.09c,-2.059242442,2.32E-17,-2.301541326,3.02E-33,,,,,,
SPAC17C9.11c,1.188577754,3.99E-12,1.468729052,3.99E-29,,,,,,
SPAC17C9.15c,-1.460598207,1.87E-07,-1.733004549,8.02E-12,,,,,,
SPAC17C9.16c,2.528974224,2.62E-58,1.561650905,5.78E-26,,,,,,
SPAC17D4.04,-0.795014617,5.27E-07,-1.297179372,5.22E-21,,,,,,
SPAC17G6.05c,1.250500679,9.40E-18,1.156035102,2.17E-19,,,,,,
SPAC17G6.07c,-0.837643853,7.91E-06,-1.019287412,2.18E-09,,,,,,
SPAC17G6.11c,2.065639117,2.84E-32,1.051144697,2.70E-18,,,,,,
SPAC17G6.14c,-1.098671279,5.46E-15,-1.668798031,7.58E-47,,,,,,
SPAC17G6.17,-1.546779626,1.62E-11,-1.515536948,6.18E-12,,,,,,
SPAC17G8.04c,-0.189063489,0.511959945,-1.126843414,3.29E-17,,,,,,
SPAC17G8.10c,1.775743077,2.01E-23,1.8264993,1.07E-35,,,,,,
SPAC17G8.11c,2.200335564,2.18E-28,1.987350566,3.20E-31,,,,,,
SPAC17G8.15,-1.207561885,0.128200149,-1.040018441,0.20969246,,,,,,
SPAC17H9.05,-0.083814196,0.663689964,-1.180813119,7.79E-12,,,,,,
SPAC17H9.07,-1.146877504,0.000119638,-1.867218185,2.87E-09,,,,,,
SPAC17H9.08,-0.875743186,0.000688301,-1.357037535,7.94E-07,,,,,,
SPAC17H9.09c,-1.509150263,0.056906154,-2.171492048,0.019677455,,,,,,
SPAC17H9.11,-1.254357476,2.76E-07,-2.283238892,5.63E-19,,,,,,
SPAC17H9.14c,-1.27579304,1.02E-20,-1.536419852,8.02E-23,,,,,,
SPAC1805.02c,-1.180068251,1.53E-12,-1.691989578,2.11E-34,,,,,,
SPAC1805.16c,0.41422288,0.031441576,1.535974414,3.30E-34,,,,,,
SPAC1834.04,-2.308971353,3.67E-49,-0.841633692,8.98E-15,,,,,,
SPAC1834.08,2.359165982,5.30E-66,2.023047918,4.38E-82,,,,,,
SPAC1834.10c,-1.434399949,5.24E-16,-1.226135034,4.05E-12,,,,,,
SPAC1851.02,-1.809234913,1.74E-29,-1.936057185,5.26E-47,,,,,,
SPAC186.01,-1.446870256,0.000933706,0.767820794,0.008207696,,,,,,
SPAC186.02c,-1.18696297,0.023860627,3.676571707,2.29E-78,,,,,,
SPAC186.03,0.015977555,NA,4.783077324,6.77E-07,,,,,,
SPAC186.04c,2.193115607,0.062047052,3.040775699,0.007229148,,,,,,
SPAC186.05c,3.198346837,2.66E-05,3.929967194,2.93E-09,,,,,,
SPAC186.06,3.749305055,1.86E-05,4.548997351,0.000198849,,,,,,
SPAC186.07c,-0.275970494,NA,2.608103599,0.00670088,,,,,,
SPAC18B11.07c,-1.398906666,5.00E-15,-1.384869099,3.14E-17,,,,,,
SPAC18B11.09c,1.468827268,2.48E-17,1.647900957,3.59E-25,,,,,,
SPAC18G6.09c,6.861468353,0,7.719861314,0,,,,,,
SPAC1952.02,-1.282457461,1.93E-08,-1.772594527,1.81E-18,,,,,,
SPAC1952.04c,1.189680357,1.57E-07,1.413597044,3.91E-12,,,,,,
SPAC1952.05,-1.119937012,1.69E-09,-0.759312298,1.75E-06,,,,,,
SPAC1952.06c,-1.699845393,6.08E-20,-1.568703581,2.19E-17,,,,,,
SPAC1952.10c,-1.138749356,3.38E-05,-1.01288614,2.27E-05,,,,,,
SPAC1952.14c,-2.320636809,2.23E-22,-2.008084296,8.07E-20,,,,,,
SPAC19A8.01c,2.478637936,1.81E-68,2.22036125,5.07E-72,,,,,,
SPAC19A8.03,0.824186424,3.56E-08,1.277251737,8.05E-26,,,,,,
SPAC19A8.05c,1.747149866,9.19E-31,1.758864953,1.46E-50,,,,,,
SPAC19A8.09,-3.072114546,6.35E-07,-3.876847279,5.27E-07,,,,,,
SPAC19A8.11c,-1.81487204,0.007463416,-2.269217889,0.002876346,,,,,,
SPAC19A8.16,4.294105111,8.44E-46,4.037646437,2.60E-51,,,,,,
SPAC19B12.03,2.221404854,6.19E-76,1.659801441,2.06E-67,,,,,,
SPAC19B12.04,-1.900345513,4.21E-14,-1.81115747,8.38E-41,,,,,,
